Pokemon,Player
Primal Groudon,Naoto Mizobuchi
Lunala,Naoto Mizobuchi
Mega Salamence,Naoto Mizobuchi
Incineroar,Naoto Mizobuchi
Tapu Fini,Naoto Mizobuchi
Stakataka,Naoto Mizobuchi
Primal Groudon,Hirofumi Kimura
Dusk Mane Necrozma,Hirofumi Kimura
Mega Salamence,Hirofumi Kimura
Mega Kangaskhan,Hirofumi Kimura
Tapu Lele,Hirofumi Kimura
Umbreon,Hirofumi Kimura
Primal Kyogre,James Baek
Xerneas,James Baek
Incineroar,James Baek
Tornadus,James Baek
Kartana,James Baek
Amoonguss,James Baek
Primal Kyogre,Wolfe Glick
Mega Rayquaza,Wolfe Glick
Mega Gengar,Wolfe Glick
Incineroar,Wolfe Glick
Tapu Koko,Wolfe Glick
Celesteela,Wolfe Glick
Primal Kyogre,Graham Amedee
Lunala,Graham Amedee
Mega Medicham,Graham Amedee
Tapu Koko,Graham Amedee
Tapu Lele,Graham Amedee
Nihilego,Graham Amedee
Mega Rayquaza,Jean Paul Lopez Buiza
Xerneas,Jean Paul Lopez Buiza
Incineroar,Jean Paul Lopez Buiza
Tapu Koko,Jean Paul Lopez Buiza
Kartana,Jean Paul Lopez Buiza
Amoonguss,Jean Paul Lopez Buiza
Xerneas,Marco Hemantha Kaladura Silva
Lunala,Marco Hemantha Kaladura Silva
Mega Kangaskhan,Marco Hemantha Kaladura Silva
Incineroar,Marco Hemantha Kaladura Silva
Tapu Fini,Marco Hemantha Kaladura Silva
Crobat,Marco Hemantha Kaladura Silva
Primal Groudon,David Koutesh
Lunala,David Koutesh
Mega Mawile,David Koutesh
Tapu Koko,David Koutesh
Tapu Fini,David Koutesh
Jumpluff,David Koutesh
Primal Kyogre,Alexander Becker
Dusk Mane Necrozma,Alexander Becker
Mega Gengar,Alexander Becker
Mega Manectric,Alexander Becker
Sharpedo,Alexander Becker
Ribombee,Alexander Becker
Primal Groudon,Renzo Navarro
Xerneas,Renzo Navarro
Mega Salamence,Renzo Navarro
Incineroar,Renzo Navarro
Tapu Lele,Renzo Navarro
Amoonguss,Renzo Navarro
Primal Kyogre,Estephan Valdebenito
Lunala,Estephan Valdebenito
Mega Salamence,Estephan Valdebenito
Tapu Koko,Estephan Valdebenito
Stakataka,Estephan Valdebenito
Salazzle,Estephan Valdebenito
Primal Kyogre,Matias Diaz
Mega Rayquaza,Matias Diaz
Incineroar,Matias Diaz
Tapu Koko,Matias Diaz
Crobat,Matias Diaz
Ferrothorn,Matias Diaz
Primal Groudon,Paul Chua
Xerneas,Paul Chua
Mega Salamence,Paul Chua
Incineroar,Paul Chua
Tapu Lele,Paul Chua
Amoonguss,Paul Chua
Primal Kyogre,Michael Lanzano
Mega Rayquaza,Michael Lanzano
Incineroar,Michael Lanzano
Tapu Koko,Michael Lanzano
Stakataka,Michael Lanzano
Whimsicott,Michael Lanzano
Primal Groudon,Christopher Kan
Xerneas,Christopher Kan
Mega Kangaskhan,Christopher Kan
Incineroar,Christopher Kan
Tapu Fini,Christopher Kan
Aegislash,Christopher Kan
Primal Kyogre,Henry Rich
Yveltal,Henry Rich
Mega Gengar,Henry Rich
Incineroar,Henry Rich
Tapu Lele,Henry Rich
Stakataka,Henry Rich
Primal Kyogre,Guntur Prabowo
Mega Rayquaza,Guntur Prabowo
Incineroar,Guntur Prabowo
Tapu Koko,Guntur Prabowo
Crobat,Guntur Prabowo
Ferrothorn,Guntur Prabowo
Primal Groudon,Ashton Cox
Xerneas,Ashton Cox
Mega Gengar,Ashton Cox
Landorus Therian,Ashton Cox
Incineroar,Ashton Cox
Amoonguss,Ashton Cox
Primal Kyogre,Justin Burns
Mega Rayquaza,Justin Burns
Incineroar,Justin Burns
Crobat,Justin Burns
Bronzong,Justin Burns
Tsareena,Justin Burns
Primal Groudon,Jeremy Rodrigues
Xerneas,Jeremy Rodrigues
Mega Gengar,Jeremy Rodrigues
Landorus Therian,Jeremy Rodrigues
Incineroar,Jeremy Rodrigues
Amoonguss,Jeremy Rodrigues
Primal Kyogre,Yoko Taguma
Mega Rayquaza,Yoko Taguma
Tapu Koko,Yoko Taguma
Incineroar,Yoko Taguma
Crobat,Yoko Taguma
Ferrothorn,Yoko Taguma
Primal Groudon,Harrold Khoo
Xerneas,Harrold Khoo
Mega Salamence,Harrold Khoo
Tapu Fini,Harrold Khoo
Incineroar,Harrold Khoo
Shedinja,Harrold Khoo
Primal Kyogre,Benjamin Tan
Yveltal,Benjamin Tan
Mega Gengar,Benjamin Tan
Tapu Lele,Benjamin Tan
Incineroar,Benjamin Tan
Stakataka,Benjamin Tan
Primal Groudon,Kei Yin Or
Xerneas,Kei Yin Or
Mega Salamence,Kei Yin Or
Cresselia,Kei Yin Or
Tapu Fini,Kei Yin Or
Bronzong,Kei Yin Or
Xerneas,David Partington
Dusk Mane Necrozma,David Partington
Mega Lopunny,David Partington
Incineroar,David Partington
Tapu Koko,David Partington
Murkrow,David Partington
